date,start_time,end_time,is_clear_sky,pv_clear_sky,image_clear_sky,pv_r2,csi_mae,pv_mae_w,pv_rmse_w,mean_target_csi,min_target_csi,max_target_csi,n_pv_samples,n_image_samples,blue_fraction_mean,blue_fraction_p10,gray_fraction_mean,gray_fraction_p90,bright_white_fraction_mean,mean_saturation,mean_value,notes
2026-03-04,08:00,17:59,False,False,False,0.4261741448941566,0.03209664818668308,1306.9979080268113,2081.4713607096733,0.11078498702915235,0.01646794331630775,0.3562721278086262,36,20,0.006175501235924197,0.0,0.9940648173578687,1.0,0.012706673990661905,0.03518315432593226,0.6373157739639282,auto rejected by SPM daily R2 or image color heuristic
2026-03-05,08:00,17:59,False,False,False,0.9352236800237078,0.05407640935186078,2224.7519760452146,3778.486097815619,0.5414849753202858,0.1685899177254987,0.7871729671574188,36,20,0.22507552870090636,0.0011425432573468827,0.8060670145564405,0.9993216149409503,0.06547102444383412,0.11158422194421291,0.591706919670105,auto rejected by SPM daily R2 or image color heuristic
2026-03-06,08:00,17:59,False,False,False,0.7827863483073472,0.055981374775907526,2470.0735826632745,3345.5893582019276,0.4852858273485089,0.2931948405783427,0.7734386376938003,36,20,0.23037627025542431,0.0,0.8002485580884373,1.0,0.0494355946168635,0.12282093279063702,0.5965451836585999,auto rejected by SPM daily R2 or image color heuristic
2026-03-07,08:00,17:59,False,False,False,0.9135641164387172,0.04081680892394837,1885.2475188450471,3450.0746758469995,0.62728319677165,0.31788334827203557,0.812921353379942,36,20,0.32923510024718483,0.014454820104366932,0.7202375720955783,0.9974457566602581,0.07699670420214225,0.14671005364507436,0.5677044689655304,auto rejected by SPM daily R2 or image color heuristic
2026-03-08,08:00,17:59,True,True,True,0.9878266144756799,0.02588582837467827,714.8675010470051,1299.467027127214,0.7149976123100887,0.266550819536219,0.9155695748369915,36,20,0.4779236473496292,0.3607470475144191,0.5726627300192255,0.7055753913759956,0.06725487503433122,0.20251598656177522,0.5670114129781723,auto clear sky by SPM daily R2 and image color heuristic
2026-03-09,08:00,17:59,False,False,False,0.8143290622171356,0.08122587231032191,3911.09684292664,5204.290000578585,0.600163284502535,0.27098351821632377,0.8453312364581715,36,20,0.25754188409777534,0.03524855808843724,0.790159296896457,0.9895852787695688,0.07009612743751717,0.1304069897159934,0.579406201839447,auto rejected by SPM daily R2 or image color heuristic
2026-03-10,08:00,17:59,False,False,False,0.6787123618353583,0.05065248609123321,2608.3254783713305,4062.5523077041194,0.22179153844973282,0.03132030124689005,0.45900373886183354,36,20,0.007607800054929964,0.0,0.9975556165888493,1.0,0.018599285910464156,0.035432861652225256,0.6314321249723435,auto rejected by SPM daily R2 or image color heuristic
2026-03-11,08:00,17:59,False,False,False,0.8178108623670854,0.054654702132772376,2565.5426911482227,3711.8808492652815,0.2702156983002851,0.038237136794656824,0.579910246613604,36,20,0.09045591870365285,0.0,0.9236322438890415,1.0,0.03964020873386433,0.07063996698707342,0.6178549408912659,auto rejected by SPM daily R2 or image color heuristic
2026-03-12,08:00,17:59,True,True,True,0.9977410699245498,0.01088783296421706,424.7014757685043,537.6212880285367,0.7386760053349186,0.5316671008182634,0.8387113372553625,36,20,0.4860326833287559,0.34339741829167814,0.5677368854710244,0.7246525679758309,0.06135677011809944,0.2063163012266159,0.5687491685152054,auto clear sky by SPM daily R2 and image color heuristic
2026-03-13,08:00,17:59,False,False,True,0.9444873833484962,0.03565227922094062,1659.221591191226,2719.1405439946348,0.7515376396471782,0.5875282894106217,0.8827564296335698,36,20,0.5171793463334249,0.2891733040373524,0.5387077725899478,0.7577011809942324,0.0572589947816534,0.22062700875103475,0.5751340925693512,auto rejected by SPM daily R2 or image color heuristic
2026-03-14,08:00,17:59,True,True,True,0.9948952075908685,0.012859508107755217,552.8900033095049,816.791519838004,0.7514535951483233,0.5514058889080986,0.873281041279922,36,20,0.5895276023070585,0.44975830815709966,0.4630582257621533,0.6184839329854437,0.05144603131007965,0.25232905372977255,0.5798305451869965,auto clear sky by SPM daily R2 and image color heuristic
